run,condition,CF,a<sub>HSC</sub>,p<sub>HSC→MPP</sub>,p<sub>MPP→CMP</sub>,p<sub>CMP→GMP</sub>,p<sub>CMP→MEP</sub>,p<sub>MPP→MLP</sub>,p<sub>MEP→EP+</sub>,p<sub>EP+→EP-</sub>,p<sub>MPP→EP+</sub>,k<sub>MPP</sub>,d<sub>CMP</sub>,p<sub>GMP→M</sub>,d<sub>MEP</sub>,p<sub>MLP→M</sub>,d<sub>EP+</sub>,p<sub>EP-→M</sub>
1,K27M,289.0713342921575,0.04767469590356578,0.471348555909506,5.899562293242119,0.5746494950589067,1.6931637378476987,0.05727472941890106,2.0543617382948343,0.0304322802657937,0.9406073305385843,3.4425510154370054,0.3740602876307463,3.622261178068583,1.2344023662286396,0.048851550230057016,0.21223186184275306,0.5039378853141006
2,K27M,253.32806130798812,0.04513958903332941,0.4561632370162837,3.913397246859261,1.21993708782228,2.6019693569630196,0.026684670525241577,5.783347479351127,0.5519486796324821,2.3733763773941847,4.46185185363664,0.8104216418843501,1.233684753385551,1.0940721813384267,0.020169267277629105,0.13529578531099054,2.984277485012639
3,K27M,196.8603399305963,0.0446933287269563,0.2354057045437276,3.4802873366180127,1.7511834865916005,1.9786312854848762,0.06566204833243398,3.1855736636954513,0.30161117446298363,2.2896211548742005,5.245206524619746,0.26304181868108617,1.0862616608609266,0.5105093779908622,0.1596117886112766,0.5035973570472586,1.1140388305437612
4,K27M,187.5798020799993,0.045933970732745244,0.49703648090723074,3.0129578980702623,0.3245953058825834,0.8987442915719239,0.03962576833335334,1.0409383074452128,0.6067746496490892,2.1366824160894455,3.3360753935159204,0.1440530183303124,0.5042736343353761,1.2571420201299213,0.03140334548881082,0.05809051832811136,1.4788553353945801
5,K27M,259.00881378877705,0.04878240720365239,0.41294993323334966,2.365530357855124,0.48303072369238714,0.8113664680103456,0.02440844189019351,7.4113373760137655,0.4404971820463435,0.9917009047934787,1.7626340326570427,0.3441573384406566,0.8876317626016338,0.8597008033183386,0.09489245936003979,0.10877652640235053,1.2743744752644617
6,K27M,256.42329372267056,0.04511332269635254,0.42157679035025813,3.321736680387047,1.7115142005869364,0.31633267563354783,0.06598709923601076,0.2759723362812566,0.10049467986895186,3.9526342485728363,5.450015802161932,0.06046388991518392,2.277788222031621,2.0892644879926148,0.04712128753116422,0.5077214734991278,0.7474058762696454
7,K27M,296.4327212637911,0.04125872863288341,0.30948597938348793,2.156363957012127,0.7875677041345199,1.3668288004851485,0.027951795537520946,0.9578010728618942,0.8560809385262752,3.874129875152005,4.960900917717028,0.1656491501653521,2.944123614863668,1.3029224093819594,0.061597881748416045,0.043981107745833886,1.7953265943873555
8,K27M,191.09813035980454,0.04332117883890662,0.4465143114286886,5.09033028184072,2.860581236424242,1.5914732144707486,0.06299880675253623,1.4595241246089512,0.39928442689818955,1.2542325121116407,5.492197334866476,0.005063688394838626,3.3428296416187964,2.25542234246866,0.12367522889592084,0.20199277410462993,1.2604948667239648
9,K27M,178.0212017349548,0.04389444724970467,0.4129576089513182,4.964470685377722,0.99927630612738,1.3536954444911529,0.02579389728416891,3.623283231914695,0.5152499329298087,0.5746097413041443,4.4554166117217475,0.236410942490634,1.3029167666333206,0.841437435291263,0.01246763642582456,0.06800621299348389,1.8353462626701775
10,K27M,241.2473827311931,0.046222300293137834,0.3033241384162405,3.2459460625663588,1.1281938900208934,1.9948313120048984,0.032135053211785655,7.080876409972143,0.575536770366131,0.47731331232291363,3.0540067363149923,0.16263386625768594,1.0662034125475697,2.2014050065963158,0.12061254397892035,0.4874104969818637,0.9674297706332244
