Model,N,AICc,BIC,CF,-2LL
Combined HSC,15,13.14477624,4.980256965,176.2394934,32086.688
Combined HSC & MPP Self-Renewal,15,8.164519273,0,173.218061,32083.667
Combined HSC & MEP Bypass,16,16.80053527,12.05630229,177.1063452,32087.555
Combined HSC & MPP Self-Renewal & MEP Bypass,16,11.9872253,7.242992317,174.1709853,32084.620
Transiting HSCs,19,2.244792982,10.23469919,197.0766368,40315.300
Transiting HSCs & MPP Self-Renewal,19,0,7.989906207,195.7159355,40313.939
Transiting HSCs & MEP Bypass,20,4.372729546,15.87110204,196.9888596,40315.212
Transiting HSCs & MPP Self-Renewal & MEP Bypass,20,4.275572113,15.77394461,196.9297976,40315.153
