run,condition,CF,a<sub>HSC</sub>,p<sub>HSC→MPP</sub>,p<sub>MPP→CMP</sub>,p<sub>CMP→GMP</sub>,p<sub>CMP→MEP</sub>,p<sub>MPP→MLP</sub>,p<sub>MEP→EP+</sub>,p<sub>EP+→EP-</sub>,k<sub>MPP</sub>,d<sub>CMP</sub>,p<sub>GMP→M</sub>,d<sub>MEP</sub>,p<sub>MLP→M</sub>,d<sub>EP+</sub>,p<sub>EP-→M</sub>
1,K27M,177.24725562483889,0.043509711950343005,0.19410359496268448,5.883030556490244,0.492582507200261,2.57519244363086,0.0623300088330964,6.462123277255038,0.3091197343963028,5.454772990011174,0.15844019370997892,0.5742031882359238,1.2553070460690159,0.09034841238292038,0.4883187669914314,1.013270463308643
2,K27M,226.9967222866249,0.04494901599782641,0.4471066599916962,5.449930429764972,2.4811720935276886,2.8023055140612305,0.06285739872292488,9.017004147715939,0.48955841983884785,4.222952213247567,0.08665301740240605,1.479506138920562,2.3813503095254758,0.08780862663107553,0.3932400250180659,0.931464872832416
3,K27M,295.33171191580533,0.046987914828919994,0.3191798123301696,5.920156547014109,1.7666503171407297,2.4519601731975937,0.010581378347641925,2.182852993897698,0.8497883524022944,4.56659383896312,0.6808201754233382,3.660013408433984,1.1751935375289988,0.05022742804883849,0.05542017534990673,1.51847831966696
4,K27M,177.9638051046995,0.04375200654390881,0.4072394046951283,4.7037474702043784,0.296401713455619,2.3449985291274125,0.06099423573343545,6.445311098391479,0.4162613385500958,3.6789910876867595,0.09478567531132054,0.35331802781689814,0.04374645970494454,0.08470071346219499,0.4189480935725992,1.3572957136144108
5,K27M,177.28408630983662,0.044044281444270285,0.22674411162517505,5.957998347368637,0.3401717781220256,2.311670395375413,0.06828750674763384,6.648436410895798,0.4424184299256692,5.382226623656548,0.4796492053329079,0.41071270495960627,0.18702944546452704,0.09918558824463376,0.360477775396988,1.5595699721673393
6,K27M,177.30608791144118,0.04353526923719482,0.38324508472416197,5.65563053133988,0.8365423937581926,2.0072589042391145,0.045148618974884515,5.635049090000474,0.5192240372786331,4.7144748794755404,0.28526519472829354,1.1079410663524512,0.34477190492672555,0.0554701387713614,0.15947020178950122,1.8810172232037525
7,K27M,176.2338507088353,0.04377604472911964,0.43483298885179883,5.9621432735865385,0.7009711803572709,1.8886601009249466,0.01998702537198951,5.3800531027894944,0.27786481572947463,4.776653033628138,0.4536673791755397,0.8601548330666279,0.5149413891570201,0.0014619770190165454,0.3884214304319287,0.9266046619778581
8,K27M,176.4663675150347,0.044090172018869805,0.4497048098888119,4.027547087961584,0.7125414902764735,1.198284717687385,0.025791800549035855,3.5330951309208607,0.22273167507852754,2.7787283468827146,0.13379937973980263,0.9662072701731733,0.10392477876012601,0.011533364048906973,0.2031401935698994,0.7444011470533781
9,K27M,176.9691035767096,0.04373842940546902,0.3369974224182351,4.681138727290413,0.7203135493214006,1.4909030527693248,0.06267319238142098,3.6935093803453976,0.13189849721115002,3.817062304071819,0.2436321368039345,0.9173065582450154,0.7087324918932487,0.09146842105123815,0.31413732699663494,0.42841501198106535
10,K27M,177.12879031018866,0.04410646264442827,0.0969949404765662,5.336978103483176,0.9726921576431184,1.308555567378312,0.03626906109819966,3.5356704436642348,0.3233322399153535,5.124240844877608,0.38693717970807534,1.304500928194359,0.3372571230520943,0.03136765909874656,0.14133591661657738,1.078754001098005
11,K27M,176.56940354571742,0.04449487557064924,0.05333671419269654,5.9571852097833595,0.9412870910559139,2.2176212202273793,0.02221042420898829,6.258562610402733,0.6467121465556593,5.8623891889305,0.01843912490942207,1.1611186076108362,0.48087554260010656,0.007941208447443946,0.13287348740733404,2.2279321275977577
12,K27M,177.26409872214458,0.043720051854999706,0.4742753137052432,5.777290598622831,0.47898912046531783,1.8997633064486876,0.06593210645258482,4.94634601597542,0.5483507425237354,4.592131838039504,0.8292024053952484,0.5630799483931634,0.7055074576390895,0.107186931807771,0.05259217077489611,1.8502160220877073
13,K27M,176.674081513597,0.04423656338012873,0.4274704477593509,5.799671404917076,0.5003422999228442,2.3386128965747277,0.022922837967152977,6.960469723770428,0.32596962966539667,4.602221722444144,0.07830944571545131,0.628671435008229,0.3323018287359504,0.010330384538852933,0.5832805089642804,1.053982077132788
14,K27M,231.69768323701442,0.03787625422664061,0.4739866792295403,5.564902752866844,1.5800504094773822,2.3617995552273485,0.014586889479256897,5.8744186626523,0.4591476211019603,5.091536073319986,0.5895109852128085,1.7483017507965544,1.7194602746412453,0.023146793972247004,0.5162319020519817,1.675515507344053
15,K27M,178.32403263775564,0.04413833899446609,0.4677897002896906,5.788585351278129,1.2985320677427914,1.5580622584169523,0.06871739569103313,4.837335954070012,0.45910754968045164,4.550399968036579,0.38522747459272966,1.8137635710240645,0.03364237139363138,0.09968866206136119,0.059783720215929446,1.706827213515273
16,K27M,177.1116948998656,0.044252148738864676,0.49680022632738197,5.620468347002182,1.5552370532319053,1.2342193687027234,0.030950562886599413,3.745387545448957,0.269605230546845,4.209209447060608,0.038678573702385144,1.9340850996944137,0.032321207675629765,0.02307333121009892,0.19758529272238076,0.8420070276611241
17,K27M,176.9770219650103,0.04443677859360501,0.45382233073364503,4.0406090410351725,0.5907447776029137,1.48432737482062,0.0328889658806436,4.375486814284201,0.39465260728003543,2.782558506881222,0.019340676189446182,0.7774889205328465,0.4494707729567231,0.026409638119149172,0.1116757194912477,1.3726874940820277
18,K27M,176.17131218431945,0.044156354231493646,0.48928862866088135,5.809695963109705,1.0185981078007886,1.9181618702294523,0.020011451617927365,5.575785373405039,0.47738620037948976,4.437875348878344,0.05675006556378566,1.3263640269024015,0.14140195342979672,0.0013869485651526066,0.2527306253066832,1.6033735188129508
19,K27M,177.13578839366804,0.04355628407239088,0.22868376782103686,5.629948269611191,1.3349309571693015,1.6369374573600233,0.05732918589313049,4.004621207709526,0.2019390822624515,5.110585025074578,0.07652082015147098,1.7624481885568066,0.8824547150216369,0.08220552480101533,0.2880607916785691,0.6959946986350871
20,K27M,177.5063906666995,0.04312196718490298,0.24787498626295185,5.789796653692489,0.9178179131644401,1.8968239999205896,0.06899688278167153,6.091372121748644,0.589936310614952,5.231381895998328,0.11060101230876178,1.1685717043525117,0.09895910852779183,0.10687613151999813,0.11002001355750915,2.1197049628396893
21,K27M,177.01755864936618,0.04384856158719935,0.45947935796845985,5.937396018732798,0.9015066550264669,2.155242597080105,0.05098062255062346,3.723613311803586,0.19738363764697583,4.708468922681947,0.06810842409923895,1.1705703790832305,2.7073363742150205,0.06717834282740376,0.23616822631680567,0.6649910063460333
22,K27M,247.9517551477702,0.04291029577391475,0.4645098087425955,5.916068601623384,1.2934021980202943,2.1973074351406456,0.06601443193483524,5.544107099204134,0.23925895289146504,4.957135596255544,0.7843057753492249,0.8154611524657192,2.240614949901837,0.05697665517846777,0.3915571667816951,1.2408255580427416
23,K27M,292.27889021106074,0.044302111725838464,0.39832379221559355,4.178298920108943,1.9380128536916121,2.581693094489543,0.02379752892438909,1.9099986289260351,0.7588608210776275,2.904710510552505,1.4527514334183176,1.0383879977452928,0.5562594466909465,0.14996672673998032,0.16962008008218765,0.9114289869744764
24,K27M,177.33945087459824,0.04444358265250594,0.3147558930629222,5.4707465355592575,1.021398021772715,1.7041828951159788,0.06354538698287861,5.099615701057063,0.3773375479192849,4.661859031917933,0.13471667166413165,1.458579524739014,0.19000652994755443,0.09975433214432866,0.2618710496396597,1.3245102189346711
25,K27M,177.33660879656978,0.04418028349821425,0.27864072899273035,5.465092267125123,0.7939459420866796,2.0520813837889995,0.045440849602184245,5.49062790578616,0.6899064405259546,4.775680852386845,0.08121216563907009,1.0567249446761453,0.8072911231962272,0.0634104846608202,0.01965944415976862,2.2647593677373457
26,K27M,176.84078101585357,0.04426966488727359,0.39957419978640457,5.831504482847184,0.8838643228977563,1.463796845558216,0.029500532370003853,3.052847898771534,0.2558843388828863,4.724771005475182,0.6119805910900248,1.1492441374527418,1.3334794218357318,0.018051662177386137,0.115400027064536,0.8543526320592204
27,K27M,252.03535477078108,0.04924960487770456,0.19101702689060635,5.9543397159388345,1.194179484263716,2.2286440274222814,0.05368036239650041,6.474471277245589,0.38677091245741413,5.2706293456108675,0.3488835111175496,3.4532030383392076,1.9443543813900932,0.15543447280566572,0.5755435294529014,1.5560441911925766
28,K27M,256.46172961412816,0.046980233393121115,0.3135407283707027,5.666752995042669,1.4995995653665315,1.087168870003431,0.041306926617731485,3.191402621222829,0.1410400941689483,4.494018550936779,1.0480283340646719,0.6742496444274346,0.43765490021733994,0.137295115095381,0.10460088227724462,0.4462181454551043
29,K27M,266.3624256155816,0.035082938665379315,0.3683541790527213,5.208623293763112,0.9158482338023066,2.5193902769796708,0.0665406934156828,7.319837936725595,0.6566383760056078,4.716559418372498,0.04904785693477298,0.7801779500508257,2.4134137893069156,0.14416287664563088,0.9937666120327464,0.9852290230697142
30,K27M,244.49299702404807,0.05006043928164569,0.4986042548601628,4.532794261486496,0.3980180879038724,2.44228320406266,0.019317727518938652,6.8193670417772445,0.5541828969366882,2.233342485283843,0.41972613400389736,1.7380198818390786,0.7989505551669414,0.002596498733814942,0.2975757591465129,1.3316357235185161
