run,condition,CF,a<sub>HSC</sub>,p<sub>HSC→MPP</sub>,p<sub>MPP→CMP</sub>,p<sub>CMP→GMP</sub>,p<sub>CMP→MEP</sub>,p<sub>MPP→MLP</sub>,p<sub>MEP→EP+</sub>,p<sub>EP+→EP-</sub>,k<sub>MPP</sub>,d<sub>CMP</sub>,p<sub>GMP→M</sub>,d<sub>MEP</sub>,p<sub>MLP→M</sub>,d<sub>EP+</sub>,p<sub>EP-→M</sub>
1,WT,300.75489584594783,0.015508457052157792,0.39462080233534286,4.6174837699869995,3.4624280019954488,1.5858628650116318,0.09966012963839804,1.5749956080672671,2.244280146478114,4.476445739128669,0.6915683962444994,0.29712394553792576,2.142384049182276,0.05594089084844357,1.541726461424491,0.3960844453953255
2,WT,320.69743281142667,0.02230054255780564,0.13365552687399854,3.3920781907860467,0.2078870673110116,3.145677500865319,0.04978451464204649,7.022373834287279,1.9383332727372211,3.3257645896435077,0.5652094927859894,0.41803058573670016,0.354554358662841,0.01076405677329872,0.959025147030458,0.5807615111353165
3,WT,228.11544516566784,0.016818237318940873,0.1848717251166391,5.732904378548407,0.8670150131235796,2.1205959910349543,0.09284717644887161,5.800562712339313,1.0783841393703932,5.666016596609423,0.05336517867563017,0.13567310955014836,0.8105628541921268,0.037557658924865525,0.3595382230172754,0.6572510424880273
4,WT,295.6039938122754,0.011901160068837532,0.3769920756391659,5.108880070968907,0.5521545029005842,1.6280408306612244,0.0761488882028282,1.4124612121166804,1.9171673711496848,4.92655037092198,1.6184538614720363,0.04874088675435673,2.467769233386508,0.05985681246772877,1.0508373366061865,0.8436797025145234
5,WT,348.80365892015806,0.019544317451917745,0.25866004660274794,5.249254091407196,3.1414630989470944,1.6039786072934872,0.050165659826325454,4.329852991263625,1.2641740703082032,4.804809531438056,0.308945955596013,0.12447510297168929,0.8494157075987127,0.07899559335145204,1.3243513686265385,0.7679013735520712
6,WT,224.78379683549946,0.017313759856074824,0.3610017446281851,5.968568707112893,0.7688479994160748,1.5821910461917161,0.09892602460850847,5.169554858207811,1.0954503989295268,5.69703901443602,0.04352552257603072,0.13039989508043498,0.11746121380193933,0.051982077711772746,0.35580948213992153,0.7135009356539018
7,WT,234.75932662543482,0.01830411288738067,0.3799905971934183,5.796539054763646,1.2278205962277025,2.3088398967713197,0.05031776512612957,4.597557229757058,0.5701908042939741,5.500040294980224,0.06464649594237849,0.16998440890106756,0.7624497768763064,0.013862149809827948,1.421126951345494,0.24263904512309906
8,WT,292.1777352122917,0.02086857198032007,0.49082814803031233,4.5550823945977825,0.0638557411432894,2.8928625241030774,0.026059678850458665,4.084459892190707,1.1479707144159155,4.067857203716712,0.4819841488202832,0.19551891869071403,2.2016268574758477,0.010092048174333526,1.2612695344086813,0.5605548249993844
9,WT,319.3058182726779,0.017720186275865916,0.2303111646713819,5.087969902801114,1.6162054859917028,1.9134952795770905,0.08979961631663796,2.160798169985158,0.8820348931630124,4.90530458294977,0.5534224579969496,1.0444978612020146,2.1407518047151437,0.03407493304964491,1.648397229161239,0.5557032024656472
10,WT,324.04214372650404,0.004583320000198888,0.0469162956946024,5.4761082223059105,0.7823408306949071,1.9978162484772466,0.03490650077013761,9.874214274386148,1.688631256079271,5.497327007211785,0.27257768024105966,1.4981984537972246,1.391778643754388,0.039122023902344205,0.35617132209601066,0.45888925417835336
11,WT,247.22209475809694,0.015324675496936084,0.40134288597131496,5.513905070218821,0.8642701412255791,1.290373543616662,0.09498004589598033,9.812228589346535,0.7978878967859966,5.3201772787691555,0.3191315332009788,0.15172068045902515,0.684602317492818,0.06276680240549203,0.1530914542810089,0.8582415038876762
12,WT,317.06916934081266,0.022608075486015875,0.43907277714145587,5.198645882446461,0.2540862019923834,3.538622636437096,0.08375286526137105,2.427303826776671,0.5677675197219311,4.593915907244773,1.4635822676389436,0.2956057428499109,1.9299460380785358,0.06425643976651522,1.8098859951957442,0.06993451419515664
13,WT,304.7718396104579,0.019084271219560005,0.45808795149406,4.937950468587715,1.1313263209456141,3.4610718735825934,0.09963183644313736,3.254964940890119,1.2079053084487015,4.433059006661681,1.9346519920317773,0.5705029539072994,0.7722884634596194,0.056757672201391114,1.7770551496830735,0.16120766995010186
14,WT,312.5614905060413,0.019583476659804498,0.41283100903620895,5.416757258717407,3.924615577526695,1.500035132528054,0.0763472579355679,3.2077773015354594,0.19667113010214865,5.205164314150299,1.3787390706488285,0.37886325668517695,1.7190912443757882,0.09330506572665559,0.3354557940456345,0.04525578320615464
