run,condition,CF,a<sub>HSC</sub>,p<sub>HSC→MPP</sub>,p<sub>MPP→CMP</sub>,p<sub>CMP→GMP</sub>,p<sub>CMP→MEP</sub>,p<sub>MPP→MLP</sub>,p<sub>MEP→EP+</sub>,p<sub>EP+→EP-</sub>,d<sub>MPP</sub>,d<sub>CMP</sub>,p<sub>GMP→M</sub>,d<sub>MEP</sub>,p<sub>MLP→M</sub>,d<sub>EP+</sub>,p<sub>EP-→M</sub>
1,WT,315.68493520279895,0.011752585013767957,4.880068782521967,3.0773330956094354,0.22463619908570392,3.6856760299541067,0.1273618552746894,1.243758596683964,0.1540840511947783,1.626654292921154,1.7732995628120323,0.1087431873805621,0.0845914933772538,0.0676073404813746,0.9571221010864515,0.047269308369088936
2,WT,290.6822978833273,0.019493953560217686,4.785640675539883,4.7558144802290965,0.6244501434897614,3.839480437185582,0.12415847311680162,8.95943309095927,2.12744180445342,0.5429143029295276,0.3400997138942501,1.0225362849900406,0.9360219288439813,0.04787633800938717,0.015042169824738716,1.0134060489700287
3,WT,312.9065664723312,0.02165495327129553,4.963187274542063,7.551450434283311,0.5506187195799246,4.172986059450337,0.0394413536780327,9.1859345131096,1.9983682825442484,0.4948279179629185,0.8589367254819861,1.1591831356359341,1.520312605092951,0.02408255236443891,0.3024603720092556,2.5740879347219456
4,WT,307.4000198869092,0.020606023497921205,5.937074282377555,8.365615423514114,0.8289229478021785,1.171940509574382,0.05352247412974211,7.211708343715886,1.5340177009931453,1.083531695951594,0.4865469399811291,0.8191354751753015,1.4100238532174627,0.05751292620636979,0.3348477121320883,2.599294705591035
5,WT,322.0934912651917,0.019349288563024182,5.305272666258646,5.586526699550802,2.500938623182697,5.273872821068137,0.1356612897492533,1.1050854814179258,2.868664284089557,2.8692742995900318,1.8234397313176824,0.14574626797111986,1.4609221076725012,0.056528199206749466,0.549800461015497,3.7067205874907168
6,WT,277.16715086880293,0.021811398837358716,4.923998773441517,7.190221191020035,1.5984947954332753,4.698798079206263,0.10032629325168547,5.458965659455727,1.3187583587346445,0.6349235384410072,0.5298640202592846,0.05946981257779729,2.5044885092562046,0.03466100081512006,1.4383876020979,0.5179393602645246
7,WT,280.2588178120851,0.02204546759843593,4.769770931388339,9.769002786872393,2.198602352220991,2.448488947499682,0.11421124046729597,3.260194579520995,1.4647730509898467,2.380345621407037,0.20642244243879715,0.2731633932905654,1.0526475785129823,0.018036016832723746,0.7333119907908012,0.5863873863037619
8,WT,302.01539040612556,0.0207846615213381,5.874801038506502,9.15537346905964,0.22008911937344777,5.149272100054265,0.0836153187305806,6.102341839293398,1.0303463821841414,2.0965398587844173,1.6970579614872021,1.350820159204738,0.6002118672894499,0.01969490469654553,0.5689798685479294,1.8735129407256268
9,WT,296.3535527022731,0.020912067253438048,5.96840277739182,9.146669058697345,2.9535952426120797,5.958815263047573,0.1231638075033594,2.4035035770637627,1.2249357258172235,1.65530145515695,1.1540513535616763,0.24448304388563757,2.897232657141595,0.02731622125651026,1.4905513661645653,0.6970075716478039
10,WT,300.1975453141421,0.01819902642288193,4.907078366473495,5.009095872497613,3.3504506961480676,3.438140297638517,0.13935838576191048,6.651633176243347,0.6753359224205417,0.8771320708276,0.9763589168287793,0.14650530062126532,1.9858797888422375,0.07837343062855973,0.6248537420679976,0.6879205210626185
