run,condition,CF,a<sub>HSC1</sub>,p<sub>HSC1→MPP</sub>,a<sub>HSC2</sub>,p<sub>HSC2→MPP</sub>,p<sub>MPP→CMP</sub>,p<sub>CMP→GMP</sub>,p<sub>CMP→MEP</sub>,p<sub>MPP→MLP</sub>,p<sub>MEP→EP+</sub>,p<sub>EP+→EP-</sub>,p<sub>MPP→EP+</sub>,k<sub>MPP</sub>,d<sub>CMP</sub>,p<sub>GMP→M</sub>,d<sub>MEP</sub>,p<sub>MLP→M</sub>,d<sub>EP+</sub>,p<sub>EP-→M</sub>,r<sub>HSC1→HSC2</sub>,r<sub>HSC2→HSC1</sub>
1,K27M,242.7898435108092,0.04281534094955484,0.4800789417260204,0.04691148812171371,0.41697911103653656,7.699101913341939,1.6815083390128425,3.223553222560602,0.09338641505052094,2.585436109458189,0.19484773154530743,0.05758786899680234,5.67860384115778,0.5874618495730082,1.3186635693604714,1.376617013479008,0.15048605421382721,0.1336067383723381,1.1770270124271152,0.0021947315886400916,0.0039431001012038185
2,K27M,248.04053283903568,0.02990632656812595,0.34354930491880237,0.028044093572260155,0.43238387361514785,3.219941012810946,2.502813598366325,4.580458069834261,0.04098649520082064,2.664335787913528,0.3070583115183813,2.396165254720596,4.806022986894724,0.14485513504372705,1.9977715056471035,1.1832750881955336,0.07437469578721817,0.5851799022249617,1.180583638519667,0.0140056226579811,0.015732076305957316
3,K27M,299.1377194281082,0.021366036653296085,0.4612615731751194,0.026450978732438197,0.46764305389299493,2.2254069341133005,3.1385752479121347,4.48891247195014,0.05356864534203873,8.565869448172064,0.16318841946452556,1.8220739005480227,2.1353847325903113,1.815619022210708,0.48083980025060474,2.914343317019486,0.03146747293921411,0.17075088823647,0.4834025241888803,0.01155686796567123,0.04172003619341704
4,K27M,323.7325630194376,0.031986492764573306,0.33947911959949373,0.02962396995634405,0.240388464924425,3.1994478379142817,0.6589080879800004,1.776433279069505,0.07516775519209992,5.990898752254581,1.6166534908196866,0.8693409274724303,3.5471795151892507,1.5191306557206274,3.201890471431294,3.5849149388865724,0.15398411592131958,0.041938670853585464,2.826499239273025,0.010553334951363794,0.018995244853264422
5,K27M,336.73869431020466,0.025084332956432774,0.4593455275064894,0.012140296303383362,0.4858993849222829,2.1078603314211892,1.0308340522240922,2.2903090190533844,0.026549361213593012,6.330591295513276,0.2296405056488502,2.9510212085989043,3.583309697305831,1.6317283349042793,0.8688298178721645,0.5798170670789053,0.00815475446561538,0.19201071906786504,1.7565365318451123,0.02324368841070404,0.01718661307210473
6,K27M,198.7766104188104,0.02869732334712454,0.3843470154579876,0.0006790405190795025,0.26485273645520907,5.347365835102285,0.5324580296159374,1.0713241428065392,0.025634391967401974,2.6596356241864227,0.09581277759912793,0.5717389754630373,4.910081589435536,1.06792925616104,0.7611369206158023,0.6128987320519402,0.008834548381150109,0.362146099286317,0.2769623949451489,0.02700089447125801,0.02439638438882115
7,K27M,386.92635038438937,0.045334863632125556,0.323269596486115,0.011340288889877651,0.32926716754750374,4.219426948459542,2.7953648147512777,3.7725886461676406,0.08788604278172583,3.2726110025169968,1.9569199168863438,1.344272006870311,4.072443644826473,1.8814857761823864,1.947713170950858,3.632811612199984,0.1094267787133857,0.13861368235719285,1.5798819150951526,0.008092322829793424,0.013814804058538344
8,K27M,198.6546101922671,0.02693967452580031,0.224859496464352,0.011159354823111126,0.4043953205515128,5.8948504956046195,1.235024701133367,1.7191745937980096,0.02033468973052261,4.209589564206047,0.4788449269403213,0.27929104358384776,5.413845323778714,0.209639831080625,1.6568306557935584,1.4176972529604603,0.0033255959128191265,0.07946320269359078,1.7041483276326448,0.020811642175797958,0.02630986074233467
9,K27M,336.9236358916317,0.01585081940237382,0.35898862885720584,0.004352872847505546,0.3047463914743732,3.0691979306032935,0.17326598766710344,3.8971587015927613,0.0557826186532911,7.595760978249695,0.5529998230773259,3.343799235514555,5.92698889374581,0.8314016875513428,0.4085364373330491,2.342616225497244,0.1002399957567,0.8534775909976999,1.297669743567264,0.04178311437554705,0.023730257737670304
10,K27M,202.36720846393885,0.027836584618644983,0.27299839123602027,0.02765865890917895,0.3684977455411914,3.9067168705759623,0.5667693637420341,1.1376106318819654,0.09311221121526816,2.2700384034381846,0.7034658786014988,2.1397833387949303,5.240100499707433,0.4434524422487055,0.64632682255882,0.4487165054666104,0.18319901854237627,0.0674303167041263,2.4110761078938423,0.010804447754837607,0.02776154750039685
11,K27M,397.2267522175635,0.034555201116248865,0.49557475460390843,0.03889596159060264,0.12103206027217095,3.9022309643129485,0.29739470648886357,2.7245175792351275,0.056194208194913296,1.0110660355992973,0.6358441262916434,2.19604203260268,4.897612263158862,1.8597699420670537,0.43317367762036696,3.982366130034025,0.17644118546698193,1.2717625472465062,2.5317900033063845,0.011626125706376847,0.009763083258979056
12,K27M,216.52710957288787,0.03745560088390596,0.49690685544328617,0.002099441554356162,0.46416963904613334,4.138227462460054,1.0732039107582692,1.7147852899873697,0.06570844556419715,4.911486472007585,0.5528228181138782,3.1840167482939052,5.943691174163602,0.35721664390999636,0.9436774631508955,1.0585621494225579,0.16352279982820855,0.5185671310083763,2.23701592179631,0.027373158647939235,0.008993343065210041
13,K27M,200.27210437314935,0.02588936925812618,0.45313992170735645,0.03780149202514892,0.26967735627943645,3.95678946205929,0.7278918994498792,1.4551221636900207,0.033664701325699445,3.708184533263701,0.3158610971774406,3.0574687231978137,5.938606618192224,0.12417159529388107,0.9019072051245818,0.5140712380273118,0.034803649453982705,0.753200594144095,1.0751020296500555,0.005545052213867775,0.03620923988402273
14,K27M,354.21893971739246,0.0464596304239412,0.2806066356040605,0.001808773846873564,0.43864110167795256,3.4759742127798523,0.7733098837148829,2.7498692934139113,0.05821530759685843,2.629002463609198,0.8960336441335846,1.0437074058946227,3.3841264315272097,1.3690304001748652,3.26268531724197,3.364277632048833,0.08442852737223552,0.019845035860821758,1.9995226799205479,0.009905486224672277,0.007046983788635837
15,K27M,200.44829231738788,0.01867056896542269,0.2831742788592029,0.017185617400654104,0.3314739706238019,4.017362272354739,0.5834246626207534,1.4303231339247051,0.0900823711981928,3.20215054747391,0.28839943132052226,0.2400517570010125,3.540970175905944,0.21763357765684166,0.793160617182206,1.0649879378548794,0.17330473503932992,0.14046681296484423,0.9518851366666559,0.017187999004182424,0.04197179543202782
16,K27M,343.87301406861866,0.013472597235003138,0.4750747334243441,0.03715557844551015,0.20678273248889276,5.284757068074193,0.8765707178034727,3.0742287790100393,0.09159687505430306,8.185744456773723,1.4175023438302845,0.42531174082747303,4.74412556219388,1.3130548205380685,0.829386766324061,2.1382504956838018,0.1364509997422928,0.16636480315423396,0.9959251569438329,0.014037851867305499,0.019498912971589177
17,K27M,344.03435391082456,0.01825266357198091,0.25780652648694546,0.010068532914759995,0.3125782536805578,4.193885897827987,3.8292196674683483,3.6209653962458943,0.06475819844538763,4.987825683176479,1.0495284723453828,3.03177426949026,5.9745909509232655,0.0006131927775427926,1.3297008852249022,0.31824649469923294,0.12872700277221222,1.1173854833283865,1.6678717025354095,0.024422309725895874,0.036510559656411666
18,K27M,256.6822696067755,0.015457266948689877,0.38537966393087525,0.0001382452993879779,0.3295180895595457,4.973760213510227,0.44869200983147955,1.5411622551532653,0.056015151049909874,6.058327110628279,0.2322149556098067,0.060907368689664815,4.274465558240279,0.722355086291482,3.724062694991464,0.6925377983634352,0.09313982435100712,0.37252629336171467,2.057068739951296,0.02983968665284144,0.039875103620293784
19,K27M,341.5292688906366,0.04161622848210906,0.4815331569635806,0.02842938555500657,0.11050944305198553,6.395112883623873,2.6567901718160893,2.291686194891801,0.07649608009313502,9.738775548582373,0.5875589052046164,2.2106086312025224,5.952358632793225,0.13449757987593863,2.96947611849933,0.6270273095089958,0.03422017327068091,0.2903070778308724,1.2441078466185709,0.006249454021570622,0.02979775271481541
20,K27M,335.85518571627534,0.022652718508801715,0.3852705671972431,0.01586030942734723,0.18274196947560434,3.2890260313420407,1.3586555711759694,4.7131700809687676,0.09721447544408358,6.015039153101388,0.8349879486019033,2.2771297903134933,4.116165730311181,1.6917168313139632,3.788050921394083,1.7404321753822225,0.09397269176964933,0.12651568894369958,2.141829148643851,0.01756166045611196,0.04120617088862556
21,K27M,198.6789861612029,0.02980628809514933,0.3381703002915477,0.002660811265805839,0.24278079662274815,4.3897216038176,1.5230618405208267,0.7907174973185175,0.05227674483894419,2.041959230542201,0.49505870020157644,1.4280329171298491,5.026757929405451,0.09669169503230479,1.830080782700918,0.14456661826558848,0.07260907594116638,0.05732827723752157,1.7496514955001863,0.025271400378030554,0.02242869428949623
22,K27M,202.44287708972433,0.02535461957276517,0.37419160934096746,0.019567326424617344,0.3183538684177126,3.885090830257846,0.9118166177004392,0.9945449277541538,0.0653583340993007,2.8766398902717474,0.9993322142995189,2.494146306083731,5.464901666904091,0.1820663693009218,1.1662038197741968,0.23825360295644546,0.08284194350958392,0.017694799967598422,2.897702069722781,0.016909940658217784,0.028848817376396524
23,K27M,341.58197787878726,0.003999738126323807,0.4157922360231934,0.03250846396493997,0.29258675603195594,4.878087951071243,0.2938824529515869,2.2892519726332545,0.034255206492774096,6.7282512471104186,0.7486300782185848,0.8114721132372865,4.322425625837475,0.38167406918292596,0.09511269203298078,0.7345333959681066,0.027424270291836236,1.068816742314281,1.7901312641169183,0.013613676393829217,0.038890429551539166
24,K27M,253.62645747682544,0.03842137115465898,0.4198267211711326,0.027006110187035953,0.3417448061680681,3.6448621948592743,0.9393992813319916,0.08714358682480901,0.07463969941180809,5.822845270282021,0.41241353970081623,1.8144041620747966,4.406764500935917,1.1766344785315055,1.0738435894215768,3.446685493384742,0.1289452980199651,0.09462082047338694,1.2507781366186572,0.011746529945062398,0.006826015679776261
25,K27M,339.4933876285801,0.01742684632261736,0.26568451046786323,0.04265883331752684,0.32443187057383527,4.24334719646743,1.2371067653859331,0.8884753462719708,0.07117910902849933,1.5692334543273763,1.8118393944834903,2.203391387164313,5.361298054631234,1.2528686355569347,0.8169024933891609,0.6828535498746335,0.01761064883662186,0.08151504564165679,2.3032323209946712,0.007802496967165821,0.030723589674876584
26,K27M,368.2788309468435,0.042237394005236996,0.3632142598602921,0.03648195530383978,0.09833489288368613,4.8311028326915455,0.8140289383846038,4.657845624718392,0.03794060130508555,8.285254329031414,1.542061985775193,2.0638695782755425,5.157355616109813,0.6463408782510687,3.9718258233200197,2.4119997932437176,0.014342685802856359,0.6159707104920658,1.8070968489427055,0.005605299273547765,0.006604173048862894
27,K27M,379.3990082927214,0.0077837950817560494,0.30095533899574584,0.0186258103712345,0.16961568566952,5.090484919683914,0.3865315353801062,4.718094586418467,0.094896299252715,8.05170570172879,1.7405576050653773,0.2536504487436818,4.899053089594074,1.3767175267245642,3.546493273119678,1.059640851311845,0.13453444772008813,1.1279529537968493,1.1477748225549047,0.02970694463585903,0.03741256213163849
