run,condition,CF,a<sub>HSC1</sub>,p<sub>HSC1→MPP</sub>,a<sub>HSC2</sub>,p<sub>HSC2→MPP</sub>,p<sub>MPP→CMP</sub>,p<sub>CMP→GMP</sub>,p<sub>CMP→MEP</sub>,p<sub>MPP→MLP</sub>,p<sub>MEP→EP+</sub>,p<sub>EP+→EP-</sub>,k<sub>MPP</sub>,d<sub>CMP</sub>,p<sub>GMP→M</sub>,d<sub>MEP</sub>,p<sub>MLP→M</sub>,d<sub>EP+</sub>,p<sub>EP-→M</sub>,r<sub>HSC1→HSC2</sub>,r<sub>HSC2→HSC1</sub>
1,K27M,197.8607652827241,0.03439592375686126,0.13473643849468572,0.0013155116559925252,0.03256084524642322,6.033941193432793,0.3534063766804462,2.2485279415250234,0.04660618678335958,6.5424214864949874,0.49046330239965824,5.824297506791251,0.4238495314739616,0.43317123911313227,0.8325449447410292,0.053506753574154894,0.3055641670726854,1.645600277154628,0.024367674803636056,0.01506084544129761
2,K27M,198.51296015256304,0.027536629542249714,0.49458911095893654,6.791697144819357e-5,0.18870526040213875,6.202890999607026,0.9568923252808703,2.2931737994870693,0.0487505817538545,6.685890819479975,0.28101922623243414,5.226340056922744,0.04976371090412497,1.2594199184877921,0.17440134528461798,0.06613660799190574,0.5410531243821372,1.0276719269037344,0.028667349006636755,0.023265414263094503
3,K27M,198.2551390955113,0.04165694497552734,0.45225573261781093,0.03467968182419399,0.351728088177475,5.487575857601556,0.8347958832232218,1.784384817440093,0.04003931187746659,4.850073876745019,0.1587463742418675,4.3831515566523285,0.22240418291344022,1.0956867631805587,1.0799615486374596,0.051774227419610915,0.41123266899061783,0.5183945424842653,0.0070598369617273105,0.00057023064111928
4,K27M,198.27768767878564,0.0389650149403182,0.4995307828119346,0.004235748777481174,0.24310337937830884,6.319776396178211,0.974409757977835,2.140725815926204,0.06972405227296576,5.2374101609903425,0.5626065125385459,5.217668854908306,0.21911553000197176,1.1566426448463947,1.7530200778704605,0.10810069580928512,0.0012014418602899464,1.9740056899673533,0.0238787517014267,0.004620109892700388
5,K27M,199.50834450278037,0.026161598409758673,0.48294899277830455,0.023721179907722795,0.18804587661293967,5.61320870729235,0.7556439927874388,1.7836655920036524,0.05059695406576477,3.6694395557600945,0.31425334727403875,4.692079842504272,0.6396723739172496,1.0253873042877908,1.7067578919009299,0.07294410423727328,0.14316532601234297,1.0717059513924794,0.013206193335546512,0.030555314212956017
6,K27M,199.02642000518506,0.024873751508796702,0.18732099642249408,0.003460858487886825,0.3571906556741017,5.200941120138778,0.7439894691465869,1.6897820489007078,0.0698607364633425,4.871907916792821,0.3972297883098099,4.58474152520986,0.3790600003042528,0.9312013396470412,0.32766282486097503,0.11310810196592438,0.20851455447469186,1.3202336137006199,0.02536056862083663,0.0307529083718429
7,K27M,198.3293996010532,0.041600018930886724,0.2840428219711314,0.008163237093464748,0.4034954234949681,5.737542380477525,1.0466189750476802,1.7495231798458233,0.04032719861276101,3.615595537003679,0.33013184628760733,4.845943488025225,0.43286570462924767,1.2881383749522044,1.800912692666642,0.04220555037736732,0.05715684662198939,1.1809672011016838,0.020863286471373935,0.000669512762001889
8,K27M,198.9102319099884,0.023767548026241304,0.3883562997895712,0.022027508645465745,0.06145014273814659,6.63177804416117,1.5264554063029294,1.5934198823964312,0.055489665052145594,3.4427785046878783,0.23697470012404048,5.980826322575378,0.5668982244634846,1.9845142445206838,1.2877571995678028,0.08745769155486827,0.17882593693966917,0.7878544501008279,0.014675922215591225,0.03377589909475405
9,K27M,199.65515203966922,0.018557112812563774,0.43961744336585307,0.015540183266139459,0.46843251050550055,4.043173260192648,0.5997504912198064,1.4139550848803377,0.05727349665065279,3.4097274020328925,0.4181414926381761,2.826811763305884,0.01411542384564109,0.836027082073218,0.9790096412142049,0.07883407506765841,0.014977087219586956,1.4612259549429145,0.017927959070690492,0.0437624044652064
10,K27M,199.0142643912708,0.02768796109648875,0.28005793882466073,0.006497154711385281,0.2943073477223126,5.023368335675876,0.5528312173528761,1.597976223698498,0.06068182899258621,4.672185307876763,0.5174875825831852,4.279701464753032,0.32277906805159134,0.7626694735068282,0.5456673088800272,0.09095105287570754,0.056128318816748894,1.851271700281224,0.023586258190218753,0.024528506207934314
