run,condition,CF,a<sub>HSC</sub>,p<sub>HSC→MPP</sub>,p<sub>MPP→CMP</sub>,p<sub>CMP→GMP</sub>,p<sub>CMP→MEP</sub>,p<sub>MPP→MLP</sub>,p<sub>MEP→EP+</sub>,p<sub>EP+→EP-</sub>,p<sub>MPP→EP+</sub>,d<sub>MPP</sub>,d<sub>CMP</sub>,p<sub>GMP→M</sub>,d<sub>MEP</sub>,p<sub>MLP→M</sub>,d<sub>EP+</sub>,p<sub>EP-→M</sub>
1,WT,291.98736609643163,0.02049981555011975,5.022019162834163,2.284880950129319,0.63553893410112,1.7685074655207433,0.023249386037640513,2.509887364316052,1.1532325958318934,5.92924451933838,0.06176524975404335,0.5988845094846788,0.00422758264603415,1.465925853813682,0.016975023139580422,1.382672444085848,1.0263146859567651
2,WT,299.0221880599163,0.018263810745584416,5.044663393478265,4.110756016719957,0.8100620147913284,2.7448861594200755,0.04384053615845694,2.5085878429726045,0.8312039918393721,2.336243866471656,1.5245447923984363,1.9090895153367318,0.005265341917390032,0.04889770980315644,0.05452988002156649,0.017735464779343957,0.4250559897706896
3,WT,301.00296572142827,0.020605136555753818,5.801159698388918,5.498244748958422,0.9180389898883803,3.20738792894055,0.05132606115454533,7.174987233679706,2.0878028271804174,5.66233908777956,1.0575544320731731,0.5429318096159296,0.01617728764247739,4.793256190740101,0.026608972750197524,0.8212429603666034,1.1249196143785554
4,WT,313.2546844903179,0.02083991931057017,5.582040204915314,3.203531217049525,2.7023629086389587,0.7418002362784861,0.14514969366236252,1.013641136677828,2.1627066101945593,3.366747586192714,3.0769533920307026,1.3354804033724768,0.08559263363691016,4.128352228166197,0.061979234956691116,1.1752287037917317,0.3469476089668242
5,WT,263.6922477066418,0.01993269047181004,5.867928683315994,4.825573675189757,0.7202468011365213,3.5639828462660357,0.16436851469336974,4.596012860628779,0.6952839099683006,3.4495662448767535,1.5331742393487855,0.44210869903734884,0.03296145995447208,0.3307041668968904,0.03370083988906296,1.0473054998175635,0.9492972376725353
6,WT,324.6016247788789,0.020429109554816915,5.411523632176085,3.0747431076524885,2.633819642744842,0.8729028538672505,0.02029572473568983,2.2008039856676667,2.2099179563619664,4.489673872294844,0.7271728170304783,0.6669199270300705,0.24374018367509198,0.02611163493805524,0.07785852255465121,1.3131503838868115,1.1175602121012287
7,WT,261.72900087302537,0.020375381016294936,4.778865479741043,3.5059953437290967,0.13997177958457152,0.8692490419515551,0.11406181136137909,5.852604476732695,2.0042344564583647,1.8786984235686819,1.4841170947370066,0.44366407801834334,0.028698128846765147,0.7187869108042864,0.048720557985765134,0.00699164326100854,0.8133856544205198
8,WT,286.9551361083967,0.018734029199311497,5.44528320700249,4.816565190910685,0.7939594594073379,1.7745858132834231,0.17620902544150804,3.22132275691239,0.39695953883630786,0.4562297309724026,0.8339174797454383,0.11197660657997044,1.964518067996511,4.029353726263319,0.07445308362146942,0.09554887260444903,1.0014567357587794
9,WT,321.5553808362058,0.01752230255601237,3.5118634377336937,1.6145827109562738,3.3296127392662456,0.7786356240367969,0.16582762017503555,0.2649354776267825,2.088041799616334,2.4985546684985414,0.6041001268111836,0.22581647537105232,0.20944437332891486,0.3561327195433419,0.027061588620395677,0.907366305466919,0.6396431148126276
10,WT,316.61700761301637,0.02034312306562404,5.902391587911255,3.597823002133206,2.0042646442256142,1.2878767104284443,0.16425606735917184,6.542400948499168,1.243691179549053,1.6599715291902024,1.6891044288515742,0.12520093585130598,0.513710404695532,2.73045833972051,0.07574584440089954,0.7413107275737816,2.1217352631418813
11,WT,240.1238941538725,0.019343407926061956,5.998660579405579,5.347881783554691,0.8291530983469869,1.3424016186228214,0.13036883072123912,0.8839311984206027,1.1170397269206358,3.7356584402471205,0.6973892198043257,0.9568914533719218,0.05856604816743674,1.4324354387416192,0.040708916615386524,0.33917492167294705,0.5633880113539963
12,WT,330.33996561504665,0.02114537566098902,5.234756494258045,5.284428616975367,2.462549589844145,2.3987068418707347,0.10977337491711367,2.8565134458892323,1.9351715117814006,4.9469988617438645,1.96472107800661,1.5694635267884862,0.3770148413962717,3.894137055848014,0.013650754126286899,0.7489471528011903,1.0510823124710806
13,WT,296.139611543515,0.019366914989180237,4.866157122638841,3.938656217090254,0.5982747056439981,2.6696616122565775,0.03398213566846098,0.2500818730500054,1.9588380796609537,4.8626697857401915,0.5953805630077114,0.2619742112822246,0.690044174939839,1.7538123929728013,0.0020316094978117677,0.3269761573730309,0.6370853477975329
