run,condition,CF,a<sub>HSC</sub>,p<sub>HSC→MPP</sub>,p<sub>MPP→CMP</sub>,p<sub>CMP→GMP</sub>,p<sub>CMP→MEP</sub>,p<sub>MPP→MLP</sub>,p<sub>MEP→EP+</sub>,p<sub>EP+→EP-</sub>,p<sub>MPP→EP+</sub>,d<sub>MPP</sub>,d<sub>CMP</sub>,p<sub>GMP→M</sub>,d<sub>MEP</sub>,p<sub>MLP→M</sub>,d<sub>EP+</sub>,p<sub>EP-→M</sub>
1,K27M,207.18709756199672,0.04859670921351845,4.535259401426018,6.712170572516209,1.1596280036566613,2.3378945392014687,0.03829946211957423,4.545972741326317,0.17670874916927848,4.315118388221443,4.5206967648654715,0.16547034531103266,2.2310203768095658,3.758369259694758,0.06279279799149858,1.269260085804337,0.9772228876189271
2,K27M,183.77818318808104,0.04268711585146133,6.787428280907602,8.62134881147939,2.219953537333126,3.823894842189585,0.01764827987281997,6.171319723116544,0.8219320740658392,5.218067204796649,0.6710447605525881,0.7144594895020284,2.4937693634297733,3.604839130435319,0.0030019085933311574,1.3136473112774032,3.037736026807155
3,K27M,177.83983682682162,0.044639962286358255,5.982805008354662,9.415245190021086,2.360371274438852,2.152447154115862,0.08862918264836737,5.278499966365962,0.6841947030306236,5.14689022671112,3.799800215857922,0.799972805861563,2.9928764435088526,0.40210591599393003,0.1432638619941771,1.0617847788401102,2.4351132322645643
4,K27M,182.34170083935896,0.04488471701008393,6.116951308338051,8.89427580844907,2.696722824021008,2.484447906808238,0.07397421680036353,5.919537211808259,1.0673352172014283,4.307184077154919,3.470488464757976,1.4632731600507205,3.158032800417154,0.8511352722398973,0.1378595907402511,0.6101295136020529,3.7330559690445204
5,K27M,185.29421844740241,0.04220712996348704,4.788153456310694,9.663248021759612,1.5382299763510727,2.233121983272103,0.03275413099159304,6.013927355974699,0.5643224993281177,1.5829064866734144,1.3099019293429865,0.024047724149898145,2.9667087078713856,3.1116020772357853,0.027289164380252008,0.507683269446543,2.350988848133232
6,K27M,197.1908475533782,0.04381946311894739,5.928468270378463,9.49052904205853,3.226227229023394,0.7602871463555793,0.043625974328948464,2.7638020639055596,0.49313860009432897,3.623210614607982,2.4481729373340935,1.1315840610219585,3.6215473055338254,0.59576833086227,0.0914178926194565,0.5941003516208426,2.753696823361529
7,K27M,177.65591058645902,0.043381184565402256,4.522161581433517,7.371371246289284,0.7682073427015267,1.3888471868052383,0.09406627227277396,3.301633037269908,0.696021689447066,2.4722064646937176,3.065023106484663,1.466504544714732,1.0381619047416277,0.6047690668564975,0.151559590877434,0.24269627114779485,2.3709790735047034
8,K27M,181.94701686086358,0.044628323272472875,7.398733583445938,8.841146100865407,2.869202890915081,2.241041833878327,0.09111502374318825,3.8997187892250276,0.9295334935004076,5.934211194910108,4.643424169915292,1.481623277691577,3.4016924037494487,1.4205478100560462,0.17830826596546132,1.0386232659795864,3.070409303256441
9,K27M,179.65239067494826,0.04323823604611678,6.668855982889952,9.8639226629927,0.7729111747868194,3.248988606973303,0.05664196433165465,6.812740943296623,1.4241863375933272,4.021295128324925,3.604622543490584,1.3642461764745517,0.9840332597496121,3.2111148316759177,0.09029485115465624,0.42246443437687053,3.995170502902055
10,K27M,181.75361373580785,0.042468000850988806,7.257453248054742,8.514285287103675,1.4785365508716024,2.4557053827767867,0.07063494866956872,2.8159226608169234,0.8850426337736608,5.770771921315079,5.344875018795881,0.5530274255302767,1.4878905921301968,4.794805507232914,0.11611899296008554,0.6254470419212399,3.36568368472188
11,K27M,177.94999597852132,0.044554081586779565,5.480912123488799,8.92028908181459,2.2889705956295665,2.466659273670833,0.07770058692223314,5.262974893430008,0.4002761874504113,5.878922831715708,1.2586762580602158,0.42135757125264406,2.7059049059930573,1.9189589355080523,0.1280744935766828,1.6378410318352379,1.252417259758121
12,K27M,182.61501340038396,0.04090864371411101,6.780372653125686,8.62472853241447,1.5637310171528092,1.3131399365682734,0.05889498701293056,0.695672985657519,0.755621892306288,5.554628626586209,2.9322845109030604,1.240483367422405,2.0342286441061925,3.351527403768939,0.0664257773936141,0.3359012321891212,2.3692969925981373
13,K27M,187.44987994565875,0.03956423131578382,7.830411663263371,7.7521300560982915,1.135784158845017,3.02704050544938,0.08914175925222362,8.526061902647966,0.7581632851963234,5.189900525182736,2.0511433361162568,0.3980609937241724,1.4492917865101946,0.7836674634949874,0.1544600242040138,1.7125723645362487,1.9926896110603525
14,K27M,216.24632800245516,0.04876362499832662,4.25078190990318,6.505093007968826,2.2604626434181796,3.8271829634082746,0.04626068278115733,5.838183216266119,1.1346169514496256,5.228474864553687,2.7060144751499084,1.829399621813803,1.5302702688468637,0.36659741123161016,0.08382875453070483,1.6584085889600886,2.847570911069165
15,K27M,177.4630714644474,0.04347096926660474,5.7582488525973785,9.770934855445855,2.8604768107573415,1.5605103000630247,0.08186015793709725,3.7184513507116863,1.1076829775345949,3.2258469102833054,2.0084875221193794,0.9315458634499333,3.685113392596407,0.9008593908020078,0.14102281993726198,0.07745164886915977,3.986517118312932
16,K27M,179.18117856613284,0.043222814869424274,6.205894774807261,7.774491527884497,1.9037394299830308,1.878096944595332,0.052263595507957915,3.260064440318968,0.9895992609103862,4.657990210298293,4.395247596945672,0.416275619409776,2.498052426321577,2.7880163992732303,0.08292125288204501,0.4982780985178794,2.9798269942371256
