run,condition,CF,a<sub>HSC1</sub>,p<sub>HSC1→MPP</sub>,a<sub>HSC2</sub>,p<sub>HSC2→MPP</sub>,p<sub>MPP→CMP</sub>,p<sub>CMP→GMP</sub>,p<sub>CMP→MEP</sub>,p<sub>MPP→MLP</sub>,p<sub>MEP→EP+</sub>,p<sub>EP+→EP-</sub>,d<sub>MPP</sub>,d<sub>CMP</sub>,p<sub>GMP→M</sub>,d<sub>MEP</sub>,p<sub>MLP→M</sub>,d<sub>EP+</sub>,p<sub>EP-→M</sub>,r<sub>HSC1→HSC2</sub>,r<sub>HSC2→HSC1</sub>
1,K27M,200.08066050467013,0.025038495072790438,2.3326807746245937,0.006350361431678631,7.879585581832495,7.535651829506671,1.2958432683854495,2.5632386552683433,0.06032000960953099,5.559666132489289,0.3515602113560784,4.981380167553217,0.11590416558495287,1.810564787399757,2.7182161942882592,0.08986526980261293,0.3345078661533136,1.2906428146286342,0.021975256603455038,0.03427612249632232
2,K27M,198.7198683619924,0.034047183224397606,2.756270975312274,0.006478582363048204,3.134133005253263,7.557963684929738,0.632470512110066,3.1703570324732455,0.07575414734046945,8.973704369545969,0.9579763891541614,1.243956426004485,0.06271859974519539,0.8499951519587398,0.772838873854991,0.12158251141344457,0.19660060073800892,3.553868953775857,0.021091491511189973,0.016467003500742327
3,K27M,199.82693019818066,0.021068711047758443,3.652926504705458,0.01485766378282863,5.782873638905449,7.953702434087233,1.3649218447062437,3.0662307454100652,0.060776877917574225,8.679367892262539,0.9039956538152388,4.406676415381514,0.011374167583819254,1.903885486059793,1.1316371864243373,0.09416097205785127,0.10329227815352096,3.177064504354307,0.01818429220555096,0.03871198198324089
4,K27M,199.75860356764534,0.01731308187851774,3.350078551991754,0.0016347943493361483,2.5707134293887997,7.812993933929067,0.892101615615246,3.5011294607105503,0.042255474837572346,7.97531530134709,0.764469705006586,0.7098800601067438,0.21025605603662695,1.0573906939344884,2.039923094217726,0.060015541889016616,0.2995708907292239,2.51615181658331,0.025887961062560524,0.04468394247905759
5,K27M,200.73448639112513,0.024687746585387353,4.349910824249587,0.004927245129256283,3.2039339575858015,5.882537173885792,0.450253685833375,2.638948465380011,0.09429268565840605,7.3949413077871355,0.2817324791687133,4.278513159434447,0.1737854502060506,0.6266532844805416,2.113053820427507,0.18209914580335732,0.5121877176183918,0.9375144727109302,0.022784795710159393,0.03197479027126619
6,K27M,202.36443205172128,0.027179014128465354,4.083683681306069,0.012005378535485209,3.1730991682310137,7.012381525992596,0.5234770516988698,3.5965830886186083,0.06685378080152786,9.11463687482773,0.44909817172649946,2.7034189891176674,0.46331602495594687,0.6101564651696696,1.335855835162633,0.12845048035634973,0.797877150787874,1.2835723624156534,0.02071524889872269,0.02632799184670144
7,K27M,201.89406159819998,0.016586983110018667,1.2728504068261648,0.002445265206260746,5.774583183787795,6.970146086925485,1.2312161708798206,2.8885300929505098,0.08061956851206897,7.31175770174033,0.8116377946242361,0.8338842249632034,0.3029166602108046,1.3470196299728607,0.4378715494643694,0.1378654925009924,0.08974115398444701,2.7905439606721125,0.027846594421526694,0.039589466416524874
8,K27M,197.81155822364786,0.036505324276864155,4.562118941471204,0.005894283638735633,0.19500133580387205,7.587588189882397,0.8104383874498939,2.750881428224048,0.06122243898350012,6.091187221293343,0.7370497770553914,0.874028054858409,0.19401731369150646,1.163263379654003,2.7256376059186413,0.09786699516942009,0.00787825594396438,2.691076448602201,0.022204631780272134,0.009792180576961405
9,K27M,199.3270712896066,0.03229831683500842,3.058505753976081,0.008538509405946509,6.273529845012154,7.891622287898109,1.2157776311000583,3.3599485585625435,0.03388029485597154,7.893568179192785,0.588671891440747,4.268570761943781,0.049969876833009436,1.4295006033454785,1.6521074386482377,0.035448710002145174,0.33736546898671077,2.245592700872919,0.02238485557748821,0.016478083887580708
10,K27M,197.9433061716834,0.034352041388142546,4.3436069446167584,0.0016394817608567929,0.4022757847720317,7.443730206114085,1.61684205472969,2.3611929665995626,0.047357276927133506,5.690728421409519,0.5615246842211051,0.5172469628106211,0.2001041249251455,2.1014714518697986,1.0772548678448548,0.0638254518188859,0.16523985972183314,1.9482185296114436,0.025279303420548252,0.01275076943936467
11,K27M,332.5287329028157,0.00733473927709441,2.655862099804646,0.013420705581379372,4.5107104083322405,6.525211016615032,0.06321094473394884,2.4316604231658774,0.04918759550311286,2.6711096368680325,0.9896678427543903,3.0201796029044834,0.4215426830506903,0.9056699882096939,0.9517040806685122,0.09088470322729769,0.3594515917229517,2.552353637909497,0.03420112132507012,0.02465227198854203
12,K27M,200.41918704393572,0.015506245043453576,3.5520155604350645,0.009428541014337646,2.36212393901423,7.441540548163832,0.9525166598548718,2.466239359297656,0.08490716562064371,4.149840586277055,0.12844419611493196,1.6839241462067687,0.7864372236285322,1.046225061085577,3.257032436931548,0.13816001936711964,0.38828053618035063,0.37832695479655654,0.021169289895364256,0.04963643843744539
